connectivity,efficiency,label
3.22E+00,-9.24E-05,0.00E+00
4.17E+00,-1.01E-04,0.00E+00
3.80E+00,-1.01E-04,0.00E+00
2.88E+00,-1.05E-04,0.00E+00
2.79E+00,-1.05E-04,0.00E+00
2.77E+00,-1.05E-04,0.00E+00
3.19E+00,-1.05E-04,0.00E+00
3.24E+00,-1.05E-04,0.00E+00
2.80E+00,-1.05E-04,0.00E+00
2.86E+00,-1.05E-04,0.00E+00
3.41E+00,-1.09E-04,0.00E+00
4.60E+00,-1.16E-04,0.00E+00
3.46E+00,-1.18E-04,0.00E+00
4.38E+00,-1.23E-04,1.00E+00
2.84E+00,-1.24E-04,0.00E+00
2.82E+00,-1.24E-04,0.00E+00
3.34E+00,-1.24E-04,0.00E+00
3.87E+00,-1.44E-04,1.00E+00
4.38E+00,-1.45E-04,0.00E+00
4.41E+00,-1.63E-04,0.00E+00
4.28E+00,-1.71E-04,0.00E+00
3.81E+00,-1.82E-04,0.00E+00
2.98E+00,-2.00E-04,0.00E+00
3.65E+00,-2.07E-04,0.00E+00
2.75E+00,-2.13E-04,0.00E+00
2.73E+00,-2.13E-04,0.00E+00
4.32E+00,-2.27E-04,0.00E+00
3.45E+00,-2.29E-04,0.00E+00
3.27E+00,-2.54E-04,0.00E+00
3.84E+00,-2.54E-04,0.00E+00
3.57E+00,-2.54E-04,0.00E+00
3.66E+00,-2.56E-04,0.00E+00
3.70E+00,-2.56E-04,0.00E+00
2.98E+00,-2.56E-04,0.00E+00
3.61E+00,-2.56E-04,0.00E+00
2.85E+00,-2.57E-04,0.00E+00
2.99E+00,-2.57E-04,0.00E+00
2.85E+00,-2.57E-04,0.00E+00
2.82E+00,-2.57E-04,0.00E+00
2.85E+00,-2.57E-04,0.00E+00
3.02E+00,-2.57E-04,0.00E+00
2.99E+00,-2.57E-04,0.00E+00
3.00E+00,-2.57E-04,0.00E+00
3.04E+00,-2.57E-04,0.00E+00
3.03E+00,-2.57E-04,0.00E+00
2.84E+00,-2.57E-04,0.00E+00
3.62E+00,-2.66E-04,0.00E+00
3.49E+00,-2.66E-04,0.00E+00
3.00E+00,-2.75E-04,0.00E+00
2.99E+00,-2.75E-04,0.00E+00
4.15E+00,-2.86E-04,1.00E+00
3.35E+00,-3.07E-04,1.00E+00
5.03E+00,-3.26E-04,1.00E+00
3.63E+00,-3.69E-04,0.00E+00
3.57E+00,-3.87E-04,0.00E+00
3.47E+00,-3.87E-04,0.00E+00
3.29E+00,-4.38E-04,0.00E+00
3.13E+00,-4.38E-04,0.00E+00
3.54E+00,-4.39E-04,0.00E+00
3.55E+00,-4.39E-04,0.00E+00
3.98E+00,-4.39E-04,0.00E+00
